OBSR_NO.,DAY,Location,No. Empl,Customer Sat,Application Used,Loan/Lease,Approved/Dis,Amount,Approval Time,Wait for Info,Wait - Discrete,Cycle Time,Log10 Cycle Time,Cycle Time - Discrete
659,7,New York,6,4,1,Lease,Approved,46,4,0,No,8,0.90309,Pass
660,7,New York,7,5,3,Loan,Approved,45,3,0,No,5,0.69897,Pass
661,7,New York,11,4,3,Lease,Approved,61,7,2,Yes,13,1.11394,Fail
662,7,New York,14,4,2,Lease,Disapproved,92,4,0,No,8,0.90309,Pass
663,7,Paris,9,5,3,Lease,Approved,83,3,0,No,5,0.69897,Pass
664,7,New York,11,5,3,Loan,Approved,64,4,0,No,8,0.90309,Pass
665,7,Sydney,8,5,3,Lease,Approved,75,6,1,Yes,11,1.04139,Fail
666,7,Paris,13,4,2,Lease,Disapproved,80,0,0,No,3,0.47712,Pass
667,7,New York,10,5,2,Loan,Approved,68,5,0,No,10,1,Fail
668,7,New York,10,5,1,Loan,Approved,50,4,0,No,8,0.90309,Pass
669,7,Paris,9,5,1,Lease,Approved,30,2,0,No,4,0.60206,Pass
670,7,New York,7,5,1,Loan,Approved,90,4,0,No,6,0.77815,Pass
671,7,New York,11,5,1,Lease,Approved,30,4,0,No,8,0.90309,Pass
672,7,Paris,11,5,3,Lease,Approved,70,2,0,No,4,0.60206,Pass
673,7,Sydney,11,4,3,Lease,Approved,60,7,3,Yes,14,1.14613,Fail
674,7,New York,5,5,3,Loan,Approved,70,4,0,No,7,0.8451,Pass
675,7,New York,9,5,3,Loan,Approved,40,5,0,No,10,1,Fail
676,7,Paris,11,5,3,Lease,Approved,50,2,0,No,4,0.60206,Pass
677,7,New York,9,5,3,Loan,Approved,18,4,1,Yes,6,0.77815,Pass
678,7,New York,11,5,1,Loan,Approved,17,4,0,No,8,0.90309,Pass
679,7,Paris,9,5,1,Lease,Approved,76,4,2,Yes,6,0.77815,Pass
680,7,Paris,13,4,1,Loan,Disapproved,75,2,0,No,4,0.60206,Pass
681,7,New York,11,4,2,Lease,Approved,61,6,1,Yes,11,1.04139,Fail
682,7,New York,17,4,2,Lease,Disapproved,52,4,0,No,6,0.77815,Pass
683,7,Paris,8,4,2,Lease,Approved,23,3,0,No,5,0.69897,Pass
684,7,New York,7,4,2,Loan,Approved,64,4,0,No,8,0.90309,Pass
685,7,Sydney,11,4,3,Lease,Approved,65,6,1,Yes,11,1.04139,Fail
686,7,Paris,6,4,1,Lease,Approved,79,4,2,Yes,6,0.77815,Pass
687,7,New York,9,4,2,Loan,Approved,83,4,0,No,7,0.8451,Pass
688,7,Paris,12,4,2,Lease,Approved,57,3,0,No,5,0.69897,Pass
689,7,New York,4,4,2,Lease,Approved,36,4,0,No,7,0.8451,Pass
690,7,New York,11,4,2,Lease,Approved,35,4,0,No,8,0.90309,Pass
691,7,Paris,6,4,1,Lease,Approved,21,2,0,No,4,0.60206,Pass
692,7,New York,11,4,1,Lease,Approved,42,5,0,No,10,1,Fail
693,7,Sydney,9,4,3,Loan,Approved,73,5,0,No,9,0.95424,Fail
694,7,New York,8,4,3,Lease,Approved,44,3,0,No,5,0.69897,Pass
695,7,Sydney,7,4,1,Lease,Approved,80,7,2,Yes,13,1.11394,Fail
696,7,Paris,4,5,3,Lease,Approved,70,2,0,No,4,0.60206,Pass
697,7,New York,7,3,2,Lease,Approved,85,4,0,No,7,0.8451,Pass
698,7,New York,10,3,1,Lease,Approved,30,5,0,No,10,1,Fail
699,7,New York,10,3,2,Lease,Approved,40,4,0,No,8,0.90309,Pass
700,7,New York,11,3,3,Lease,Approved,55,4,0,No,7,0.8451,Pass
701,7,Paris,10,4,1,Lease,Approved,71,3,0,No,5,0.69897,Pass
702,7,New York,13,3,2,Loan,Disapproved,52,4,0,No,8,0.90309,Pass
703,7,Paris,10,5,2,Lease,Approved,33,2,0,No,4,0.60206,Pass
704,7,Paris,13,5,1,Lease,Disapproved,24,3,0,No,5,0.69897,Pass
705,7,Paris,11,3,3,Lease,Approved,45,4,0,No,8,0.90309,Pass
706,7,Paris,8,4,2,Loan,Approved,79,3,0,No,5,0.69897,Pass
707,7,Paris,12,5,1,Loan,Approved,38,4,2,Yes,6,0.77815,Pass
708,7,New York,16,4,3,Loan,Disapproved,7,4,0,No,7,0.8451,Pass
709,7,New York,9,4,1,Lease,Approved,56,4,0,No,8,0.90309,Pass
710,7,Paris,10,4,2,Lease,Approved,55,3,0,No,5,0.69897,Pass
711,7,Paris,12,5,1,Loan,Approved,71,2,0,No,4,0.60206,Pass
712,7,New York,13,5,3,Loan,Approved,22,4,2,Yes,6,0.77815,Pass
713,7,Sydney,8,4,1,Loan,Approved,63,6,1,Yes,11,1.04139,Fail
714,7,New York,11,5,1,Lease,Approved,79,5,0,No,9,0.95424,Fail
715,7,Sydney,7,5,1,Lease,Approved,35,6,1,Yes,11,1.04139,Fail
716,7,New York,8,5,1,Lease,Approved,29,5,0,No,9,0.95424,Fail
717,7,New York,10,5,3,Lease,Approved,28,3,0,No,5,0.69897,Pass
718,7,Paris,12,5,2,Lease,Approved,27,2,0,No,4,0.60206,Pass
719,7,New York,7,5,1,Lease,Approved,36,6,2,Yes,12,1.07918,Fail
720,7,New York,10,5,1,Lease,Approved,80,5,0,No,10,1,Fail
721,7,New York,9,5,1,Lease,Approved,30,5,0,No,9,0.95424,Fail
722,8,Paris,10,5,1,Lease,Approved,60,4,2,Yes,6,0.77815,Pass
723,8,Sydney,10,2,1,Lease,Approved,40,11,6,Yes,23,1.36173,Fail
724,8,Paris,10,5,1,Loan,Approved,60,2,0,No,4,0.60206,Pass
725,8,New York,9,5,2,Loan,Approved,30,3,0,No,5,0.69897,Pass
726,8,Paris,6,5,2,Loan,Approved,49,4,0,No,7,0.8451,Pass
727,8,Paris,8,5,2,Loan,Approved,38,4,2,Yes,6,0.77815,Pass
728,8,Sydney,11,5,2,Lease,Approved,67,6,2,Yes,12,1.07918,Fail
729,8,New York,7,5,2,Lease,Approved,46,3,0,No,5,0.69897,Pass
730,8,Paris,12,5,1,Lease,Approved,25,3,1,Yes,5,0.69897,Pass
731,8,Sydney,10,4,3,Loan,Approved,31,7,2,Yes,13,1.11394,Fail
732,8,Sydney,9,1,2,Loan,Approved,72,10,4,Yes,19,1.27875,Fail
733,8,New York,8,5,1,Lease,Approved,63,4,0,No,7,0.8451,Pass
734,8,New York,9,5,3,Lease,Approved,24,4,0,No,8,0.90309,Pass
735,8,New York,11,5,1,Lease,Approved,35,4,2,Yes,6,0.77815,Pass
736,8,Paris,10,4,3,Loan,Approved,39,3,1,Yes,5,0.69897,Pass
737,8,New York,7,4,3,Lease,Approved,68,4,0,No,8,0.90309,Pass
738,8,New York,15,4,1,Lease,Disapproved,27,4,0,No,7,0.8451,Pass
739,8,New York,13,4,1,Lease,Approved,71,4,0,No,7,0.8451,Pass
740,8,New York,11,4,2,Lease,Approved,45,4,2,Yes,6,0.77815,Pass
741,8,Paris,7,4,2,Lease,Approved,51,4,2,Yes,6,0.77815,Pass
742,8,Sydney,6,4,2,Lease,Approved,32,10,4,Yes,19,1.27875,Fail
743,8,New York,12,4,3,Lease,Approved,73,5,0,No,10,1,Fail
744,8,Paris,12,4,3,Loan,Approved,44,4,0,No,7,0.8451,Pass
745,8,New York,7,4,1,Lease,Approved,60,5,0,No,9,0.95424,Fail
746,8,New York,10,4,2,Lease,Approved,70,4,0,No,8,0.90309,Pass
747,8,Paris,10,5,1,Lease,Approved,60,0,0,No,3,0.47712,Pass
748,8,Paris,11,4,3,Lease,Approved,20,3,1,Yes,5,0.69897,Pass
749,8,New York,9,4,2,Loan,Approved,60,4,2,Yes,6,0.77815,Pass
750,8,New York,10,4,3,Lease,Approved,40,5,0,No,9,0.95424,Fail
751,8,New York,5,3,2,Lease,Approved,61,5,0,No,9,0.95424,Fail
752,8,Paris,12,5,1,Lease,Approved,32,2,0,No,4,0.60206,Pass
753,8,New York,9,3,1,Lease,Approved,23,5,0,No,10,1,Fail
754,8,New York,8,3,3,Lease,Approved,84,5,0,No,10,1,Fail
755,8,New York,11,3,1,Lease,Approved,65,5,0,No,10,1,Fail
756,8,New York,10,3,3,Lease,Approved,39,4,0,No,7,0.8451,Pass
757,8,New York,12,3,3,Lease,Approved,48,6,2,Yes,11,1.04139,Fail
758,8,New York,8,3,3,Lease,Approved,37,5,0,No,10,1,Fail
759,8,Paris,15,4,3,Loan,Disapproved,26,3,0,No,5,0.69897,Pass
760,8,New York,5,4,2,Lease,Approved,45,4,1,Yes,6,0.77815,Pass
761,8,Paris,12,4,2,Loan,Approved,91,4,0,No,8,0.90309,Pass
762,8,Paris,11,4,1,Lease,Approved,72,4,1,Yes,7,0.8451,Pass
763,8,New York,13,4,1,Lease,Approved,43,5,0,No,10,1,Fail
764,8,New York,7,2,2,Lease,Approved,74,6,2,Yes,11,1.04139,Fail
765,8,Sydney,8,2,3,Loan,Approved,45,12,1,Yes,26,1.41497,Fail
766,8,Paris,12,4,3,Lease,Approved,49,3,0,No,5,0.69897,Pass
767,8,New York,8,5,2,Loan,Approved,68,4,0,No,8,0.90309,Pass
768,8,Paris,5,4,1,Lease,Approved,37,0,0,No,3,0.47712,Pass
769,8,Paris,14,4,2,Lease,Disapproved,36,2,0,No,4,0.60206,Pass
770,8,New York,6,4,3,Loan,Approved,30,4,0,No,8,0.90309,Pass
771,8,New York,7,5,1,Lease,Approved,30,4,1,Yes,6,0.77815,Pass
772,8,Sydney,7,2,2,Loan,Approved,10,8,6,Yes,15,1.17609,Fail
773,8,New York,8,5,3,Lease,Approved,40,4,0,No,8,0.90309,Pass
774,8,New York,7,5,1,Lease,Approved,50,5,0,No,9,0.95424,Fail
775,8,Sydney,10,5,2,Loan,Approved,50,6,2,Yes,11,1.04139,Fail
776,8,Paris,8,5,3,Lease,Approved,39,4,0,No,6,0.77815,Pass
777,8,Paris,10,5,3,Lease,Approved,88,4,2,Yes,6,0.77815,Pass
778,8,New York,9,5,1,Lease,Approved,37,4,1,Yes,7,0.8451,Pass
779,8,Paris,6,5,3,Lease,Approved,66,4,2,Yes,6,0.77815,Pass
780,8,New York,11,5,3,Lease,Approved,130,5,0,No,10,1,Fail
781,8,Sydney,4,4,2,Loan,Approved,51,7,1,Yes,13,1.11394,Fail
782,8,New York,8,5,2,Loan,Approved,82,6,2,Yes,11,1.04139,Fail
783,8,Paris,9,5,1,Loan,Approved,73,3,0,No,5,0.69897,Pass
784,8,Paris,9,5,1,Loan,Approved,64,3,0,No,5,0.69897,Pass
785,8,New York,10,5,2,Lease,Approved,95,4,2,Yes,7,0.8451,Pass
786,8,New York,5,5,1,Loan,Approved,69,4,1,Yes,7,0.8451,Pass
787,8,New York,11,5,3,Lease,Approved,58,5,0,No,9,0.95424,Fail
788,8,Paris,7,5,2,Lease,Approved,47,4,1,Yes,6,0.77815,Pass
789,8,New York,10,5,2,Lease,Approved,76,4,0,No,8,0.90309,Pass
790,8,Paris,7,5,2,Lease,Approved,45,0,0,No,3,0.47712,Pass
791,8,Paris,12,4,2,Lease,Approved,51,4,0,No,8,0.90309,Pass
792,8,Paris,12,4,3,Lease,Approved,42,4,1,Yes,6,0.77815,Pass
793,8,New York,6,4,1,Lease,Approved,63,6,2,Yes,11,1.04139,Fail
794,8,New York,13,4,1,Lease,Approved,54,4,0,No,8,0.90309,Pass
795,8,Sydney,5,4,2,Lease,Approved,25,6,3,Yes,11,1.04139,Fail
796,8,New York,8,4,1,Lease,Approved,59,4,2,Yes,7,0.8451,Pass
797,8,Paris,7,4,3,Loan,Approved,93,4,1,Yes,6,0.77815,Pass
798,9,New York,18,4,2,Lease,Disapproved,37,2,0,No,4,0.60206,Pass
799,9,Paris,10,4,2,Lease,Approved,66,0,0,No,3,0.47712,Pass
800,9,Paris,13,4,2,Lease,Approved,55,4,2,Yes,6,0.77815,Pass
801,9,New York,7,4,3,Loan,Approved,51,3,0,No,5,0.69897,Pass
802,9,Paris,10,4,1,Loan,Approved,52,2,0,No,4,0.60206,Pass
803,9,Sydney,11,4,1,Lease,Approved,63,11,5,Yes,22,1.34242,Fail
804,9,Paris,8,4,1,Lease,Approved,74,4,2,Yes,7,0.8451,Pass
805,9,New York,9,4,2,Lease,Approved,65,5,0,No,9,0.95424,Fail
806,9,Sydney,12,3,2,Loan,Approved,49,7,2,Yes,13,1.11394,Fail
807,9,Paris,12,3,2,Loan,Approved,8,0,0,No,3,0.47712,Pass
808,9,New York,14,3,3,Lease,Disapproved,37,6,2,Yes,11,1.04139,Fail
809,9,New York,11,3,1,Lease,Approved,36,3,1,Yes,5,0.69897,Pass
810,9,Paris,15,4,2,Lease,Disapproved,45,3,0,No,5,0.69897,Pass
811,9,Paris,7,4,1,Loan,Approved,51,3,0,No,5,0.69897,Pass
812,9,New York,7,5,1,Lease,Approved,72,4,0,No,6,0.77815,Pass
813,9,Paris,6,5,1,Lease,Approved,23,4,1,Yes,6,0.77815,Pass
814,9,New York,8,3,3,Lease,Approved,74,4,2,Yes,7,0.8451,Pass
815,9,Sydney,14,3,2,Loan,Disapproved,35,7,2,Yes,13,1.11394,Fail
816,9,Paris,9,5,3,Lease,Approved,79,4,1,Yes,7,0.8451,Pass
817,9,Paris,7,5,1,Loan,Approved,38,5,0,No,10,1,Fail
818,9,New York,10,1,2,Lease,Approved,17,7,3,Yes,14,1.14613,Fail
819,9,Paris,11,5,2,Lease,Approved,46,3,0,No,5,0.69897,Pass
820,9,New York,14,2,1,Loan,Disapproved,25,5,0,No,9,0.95424,Fail
821,9,Paris,19,4,3,Loan,Disapproved,31,4,1,Yes,6,0.77815,Pass
822,9,New York,10,4,3,Lease,Approved,42,4,1,Yes,7,0.8451,Pass
823,9,New York,11,5,3,Loan,Approved,43,3,0,No,5,0.69897,Pass
824,9,New York,7,3,1,Lease,Approved,54,4,1,Yes,7,0.8451,Pass
825,9,New York,7,3,1,Loan,Approved,35,4,1,Yes,6,0.77815,Pass
826,9,Paris,6,5,2,Lease,Approved,29,0,0,No,3,0.47712,Pass
827,9,New York,7,5,3,Loan,Approved,38,4,0,No,8,0.90309,Pass
828,9,New York,12,5,2,Lease,Approved,37,5,0,No,10,1,Fail
829,9,New York,9,5,2,Lease,Approved,66,3,0,No,5,0.69897,Pass
830,9,Paris,11,5,3,Lease,Approved,85,3,0,No,5,0.69897,Pass
831,9,Sydney,19,5,2,Lease,Disapproved,76,5,0,No,10,1,Fail
832,9,New York,5,5,3,Loan,Approved,62,4,2,Yes,7,0.8451,Pass
833,9,New York,8,5,1,Lease,Approved,53,4,1,Yes,7,0.8451,Pass
834,9,New York,6,5,2,Lease,Approved,54,4,1,Yes,7,0.8451,Pass
835,9,Paris,7,5,3,Lease,Approved,105,3,0,No,5,0.69897,Pass
836,9,Sydney,8,2,3,Lease,Approved,69,10,4,Yes,19,1.27875,Fail
837,9,Paris,10,5,3,Lease,Approved,28,3,1,Yes,5,0.69897,Pass
838,9,New York,8,5,1,Lease,Approved,27,5,0,No,9,0.95424,Fail
839,9,New York,9,5,3,Lease,Approved,36,5,0,No,10,1,Fail
840,9,Sydney,10,5,3,Loan,Approved,5,5,0,No,10,1,Fail
841,9,New York,11,5,2,Lease,Approved,61,4,1,Yes,6,0.77815,Pass
842,9,Paris,8,5,1,Lease,Approved,82,2,0,No,4,0.60206,Pass
843,9,Paris,6,5,2,Loan,Approved,43,2,0,No,4,0.60206,Pass
844,9,Paris,4,5,3,Lease,Approved,64,3,0,No,5,0.69897,Pass
845,9,Paris,9,5,3,Lease,Approved,85,4,0,No,7,0.8451,Pass
846,9,New York,11,4,2,Lease,Approved,39,4,1,Yes,7,0.8451,Pass
847,9,New York,7,4,2,Lease,Approved,78,4,1,Yes,6,0.77815,Pass
848,9,New York,7,4,1,Loan,Approved,37,4,0,No,8,0.90309,Pass
849,9,New York,8,4,3,Lease,Approved,118,5,0,No,9,0.95424,Fail
850,9,Paris,11,4,1,Loan,Approved,35,2,0,No,4,0.60206,Pass
851,9,Paris,8,4,3,Lease,Approved,71,2,0,No,4,0.60206,Pass
852,9,Sydney,11,2,1,Lease,Approved,72,8,3,Yes,16,1.20412,Fail
853,9,Paris,11,4,1,Loan,Approved,33,4,1,Yes,7,0.8451,Pass
854,9,New York,10,4,1,Loan,Approved,64,4,0,No,7,0.8451,Pass
855,9,Paris,5,4,3,Lease,Approved,80,3,0,No,5,0.69897,Pass
856,9,New York,7,4,1,Lease,Approved,79,2,0,No,4,0.60206,Pass
857,9,New York,9,4,2,Loan,Approved,38,4,0,No,8,0.90309,Pass
858,9,Sydney,9,4,1,Loan,Approved,17,6,2,Yes,12,1.07918,Fail
859,9,New York,18,4,2,Lease,Disapproved,36,4,0,No,8,0.90309,Pass
860,9,Paris,9,5,3,Lease,Approved,35,0,0,No,3,0.47712,Pass
861,9,New York,8,3,3,Loan,Approved,71,5,0,No,10,1,Fail
862,9,New York,13,4,1,Lease,Approved,22,4,1,Yes,6,0.77815,Pass
863,9,Sydney,14,3,3,Loan,Disapproved,33,6,2,Yes,12,1.07918,Fail
864,9,Paris,9,5,1,Lease,Approved,54,2,2,Yes,4,0.60206,Pass
865,9,New York,11,5,2,Loan,Approved,65,4,0,No,6,0.77815,Pass
866,9,Paris,10,5,1,Lease,Approved,39,2,1,Yes,4,0.60206,Pass
867,9,New York,11,3,2,Lease,Approved,78,4,0,No,8,0.90309,Pass
868,9,New York,10,3,1,Lease,Approved,67,4,2,Yes,7,0.8451,Pass
869,9,Paris,12,3,1,Lease,Approved,66,4,0,No,8,0.90309,Pass
870,9,Paris,9,5,1,Loan,Approved,25,4,0,No,6,0.77815,Pass
871,9,Paris,9,5,1,Lease,Approved,61,4,1,Yes,6,0.77815,Pass
872,9,New York,4,4,2,Lease,Approved,52,5,0,No,10,1,Fail
873,9,Paris,14,4,1,Lease,Disapproved,133,4,0,No,8,0.90309,Pass
874,9,New York,12,4,3,Lease,Approved,64,4,2,Yes,7,0.8451,Pass
875,9,Paris,11,4,3,Loan,Approved,65,2,0,No,4,0.60206,Pass
876,9,Paris,12,4,1,Lease,Approved,49,4,1,Yes,6,0.77815,Pass
877,9,Sydney,10,3,2,Loan,Approved,38,6,3,Yes,12,1.07918,Fail
878,9,New York,9,4,3,Lease,Approved,67,4,0,No,8,0.90309,Pass
879,9,New York,8,4,3,Lease,Approved,56,4,1,Yes,7,0.8451,Pass
880,9,Sydney,3,2,3,Lease,Approved,25,10,4,Yes,19,1.27875,Fail
881,9,New York,8,5,1,Lease,Approved,41,6,2,Yes,11,1.04139,Fail
882,9,Paris,11,5,2,Lease,Approved,62,4,1,Yes,6,0.77815,Pass
883,9,Paris,7,5,2,Loan,Approved,43,4,0,No,6,0.77815,Pass
884,9,Paris,7,5,2,Loan,Approved,94,4,1,Yes,7,0.8451,Pass
885,9,New York,12,5,2,Lease,Approved,65,4,0,No,7,0.8451,Pass
886,10,New York,4,5,1,Lease,Approved,99,5,0,No,10,1,Fail
887,10,Paris,6,5,3,Lease,Approved,118,3,0,No,5,0.69897,Pass
888,10,New York,8,5,1,Lease,Approved,37,4,0,No,8,0.90309,Pass
889,10,Paris,12,5,1,Loan,Approved,56,4,0,No,8,0.90309,Pass
890,10,New York,5,5,1,Lease,Approved,25,4,1,Yes,7,0.8451,Pass
891,10,New York,12,5,2,Lease,Approved,61,5,0,No,9,0.95424,Fail
892,10,Sydney,12,2,3,Lease,Approved,42,7,3,Yes,14,1.14613,Fail
893,10,Sydney,10,5,1,Lease,Approved,53,6,2,Yes,11,1.04139,Fail
894,10,Paris,8,5,1,Lease,Approved,34,4,2,Yes,7,0.8451,Pass
895,10,Paris,8,5,3,Lease,Approved,85,0,0,No,3,0.47712,Pass
896,10,Paris,7,5,3,Lease,Approved,29,3,0,No,5,0.69897,Pass
897,10,Sydney,7,5,1,Loan,Approved,48,8,3,Yes,15,1.17609,Fail
898,10,New York,14,5,1,Lease,Disapproved,57,4,0,No,8,0.90309,Pass
899,10,Paris,3,5,2,Lease,Approved,56,2,0,No,4,0.60206,Pass
900,10,Sydney,8,1,1,Lease,Approved,55,8,3,Yes,16,1.20412,Fail
901,10,New York,13,4,1,Lease,Disapproved,31,4,0,No,8,0.90309,Pass
902,10,New York,10,4,1,Loan,Approved,82,5,0,No,9,0.95424,Fail
903,10,Sydney,13,4,2,Loan,Disapproved,23,9,7,Yes,18,1.25527,Fail
904,10,Sydney,8,2,2,Lease,Approved,34,8,3,Yes,16,1.20412,Fail
905,10,Sydney,12,4,2,Lease,Approved,35,7,5,Yes,13,1.11394,Fail
906,10,New York,18,4,1,Loan,Disapproved,49,5,0,No,10,1,Fail
907,10,Sydney,12,4,3,Lease,Approved,38,7,5,Yes,13,1.11394,Fail
908,10,New York,12,4,2,Loan,Approved,37,4,1,Yes,7,0.8451,Pass
909,10,New York,7,4,3,Lease,Approved,46,6,3,Yes,11,1.04139,Fail
910,10,New York,11,4,2,Loan,Approved,25,5,0,No,9,0.95424,Fail
911,10,New York,7,4,3,Loan,Approved,51,6,2,Yes,11,1.04139,Fail
912,10,New York,11,4,1,Lease,Approved,62,4,0,No,8,0.90309,Pass
913,10,Sydney,10,4,2,Lease,Approved,53,5,0,No,10,1,Fail
914,10,Paris,12,4,2,Lease,Approved,44,3,0,No,5,0.69897,Pass
915,10,New York,16,4,3,Lease,Disapproved,55,2,0,No,4,0.60206,Pass
916,10,New York,10,3,1,Loan,Approved,59,6,5,Yes,12,1.07918,Fail
917,10,New York,13,3,1,Loan,Disapproved,18,6,3,Yes,12,1.07918,Fail
918,10,New York,5,3,1,Lease,Approved,37,4,0,No,8,0.90309,Pass
919,10,New York,11,3,3,Loan,Approved,26,5,0,No,10,1,Fail
920,10,New York,5,3,2,Loan,Approved,45,5,0,No,10,1,Fail
921,10,New York,12,3,1,Loan,Approved,61,5,0,No,9,0.95424,Fail
922,10,Paris,12,3,3,Lease,Approved,82,4,1,Yes,7,0.8451,Pass
923,10,Sydney,8,3,2,Lease,Approved,53,11,5,Yes,22,1.34242,Fail
924,10,Paris,9,3,3,Lease,Approved,54,0,0,No,3,0.47712,Pass
925,10,Sydney,8,3,1,Lease,Approved,45,7,5,Yes,13,1.11394,Fail
926,10,Sydney,9,2,2,Lease,Approved,49,7,4,Yes,13,1.11394,Fail
927,10,New York,8,4,3,Loan,Approved,18,4,2,Yes,7,0.8451,Pass
928,10,Paris,13,5,2,Lease,Disapproved,37,4,0,No,8,0.90309,Pass
929,10,New York,9,2,2,Lease,Approved,76,5,0,No,9,0.95424,Fail
930,10,New York,4,4,1,Loan,Approved,25,4,1,Yes,6,0.77815,Pass
931,10,Sydney,5,2,1,Lease,Approved,31,11,4,Yes,21,1.32222,Fail
932,10,New York,15,5,2,Lease,Disapproved,42,4,0,No,8,0.90309,Pass
933,10,New York,8,5,2,Lease,Approved,123,3,0,No,5,0.69897,Pass
934,10,Paris,5,5,2,Loan,Approved,24,3,0,No,5,0.69897,Pass
935,10,New York,13,1,1,Loan,Disapproved,65,5,0,No,9,0.95424,Fail
936,10,New York,10,5,3,Loan,Approved,39,4,2,Yes,6,0.77815,Pass
937,10,New York,16,3,2,Lease,Disapproved,68,6,2,Yes,12,1.07918,Fail
938,10,Sydney,14,4,1,Lease,Disapproved,47,7,5,Yes,13,1.11394,Fail
939,10,New York,8,5,1,Lease,Approved,46,4,0,No,8,0.90309,Pass
940,10,Sydney,5,2,3,Loan,Approved,55,10,4,Yes,19,1.27875,Fail
941,10,New York,10,5,2,Loan,Approved,31,6,2,Yes,12,1.07918,Fail
942,10,New York,7,5,3,Lease,Approved,52,5,0,No,9,0.95424,Fail
943,10,New York,8,5,2,Loan,Approved,63,6,2,Yes,12,1.07918,Fail
944,10,New York,6,5,3,Lease,Approved,151,4,0,No,7,0.8451,Pass
945,10,New York,6,5,2,Lease,Approved,35,3,1,Yes,5,0.69897,Pass
946,10,New York,7,5,3,Loan,Approved,69,7,2,Yes,12,1.07918,Fail
947,10,Paris,8,5,3,Lease,Approved,117,4,0,No,8,0.90309,Pass
948,10,New York,8,5,2,Lease,Approved,27,3,1,Yes,5,0.69897,Pass
949,10,New York,9,5,2,Lease,Approved,46,5,0,No,10,1,Fail
950,10,Paris,8,5,3,Loan,Approved,90,4,2,Yes,6,0.77815,Pass
951,10,Sydney,14,2,2,Loan,Disapproved,40,8,3,Yes,16,1.20412,Fail
952,10,Paris,12,5,3,Loan,Approved,20,3,0,No,5,0.69897,Pass
953,10,New York,12,5,3,Loan,Approved,40,5,0,No,9,0.95424,Fail
954,10,New York,10,5,3,Loan,Approved,50,5,0,No,9,0.95424,Fail
955,10,Paris,10,5,2,Lease,Approved,50,0,0,No,3,0.47712,Pass
956,10,Paris,11,4,1,Loan,Approved,49,3,0,No,5,0.69897,Pass
957,10,Sydney,6,4,1,Loan,Approved,58,9,6,Yes,18,1.25527,Fail
958,10,Sydney,9,4,3,Lease,Approved,77,12,1,Yes,26,1.41497,Fail
959,10,New York,6,4,2,Lease,Approved,96,4,1,Yes,7,0.8451,Pass
960,10,Paris,13,4,2,Lease,Disapproved,55,4,1,Yes,6,0.77815,Pass
961,10,Sydney,12,4,3,Loan,Approved,41,7,5,Yes,13,1.11394,Fail
962,10,New York,9,4,2,Loan,Approved,52,0,0,No,3,0.47712,Pass
963,10,New York,12,4,2,Loan,Approved,63,4,0,No,8,0.90309,Pass
964,10,Paris,10,4,2,Lease,Approved,44,4,1,Yes,7,0.8451,Pass
965,10,Sydney,8,4,1,Lease,Approved,65,9,7,Yes,18,1.25527,Fail
966,10,Paris,8,4,3,Lease,Approved,29,4,1,Yes,7,0.8451,Pass
967,10,New York,9,4,3,Lease,Approved,98,4,1,Yes,7,0.8451,Pass
968,10,New York,17,4,1,Lease,Disapproved,87,4,0,No,8,0.90309,Pass
969,10,New York,17,4,1,Loan,Disapproved,4,6,1,Yes,12,1.07918,Fail
970,10,Sydney,12,3,1,Lease,Approved,35,12,5,Yes,24,1.38021,Fail
971,10,Sydney,8,3,2,Lease,Approved,41,6,3,Yes,12,1.07918,Fail
972,10,New York,6,3,3,Lease,Approved,32,5,0,No,10,1,Fail
973,10,New York,10,3,2,Loan,Approved,63,6,1,Yes,12,1.07918,Fail
974,10,Sydney,8,3,3,Loan,Approved,34,13,7,Yes,25,1.39794,Fail
975,10,Sydney,12,3,1,Lease,Approved,35,7,3,Yes,14,1.14613,Fail
976,10,New York,11,3,2,Lease,Approved,59,4,0,No,7,0.8451,Pass
977,10,Sydney,16,3,1,Lease,Disapproved,28,7,3,Yes,14,1.14613,Fail
978,10,Sydney,10,3,3,Loan,Approved,87,8,6,Yes,15,1.17609,Fail
979,10,New York,10,3,3,Lease,Approved,56,4,0,No,7,0.8451,Pass
980,10,New York,11,3,3,Lease,Approved,35,7,2,Yes,12,1.07918,Fail
981,10,Sydney,8,2,3,Loan,Approved,21,10,4,Yes,19,1.27875,Fail
982,10,Sydney,7,2,1,Loan,Approved,72,10,4,Yes,19,1.27875,Fail
983,10,Sydney,10,2,3,Lease,Approved,43,13,5,Yes,25,1.39794,Fail
984,10,Paris,10,5,1,Lease,Approved,64,4,0,No,7,0.8451,Pass
985,10,Sydney,10,2,2,Lease,Approved,35,9,7,Yes,18,1.25527,Fail
986,10,Sydney,7,3,3,Lease,Approved,29,7,3,Yes,14,1.14613,Fail
987,10,Sydney,10,4,2,Lease,Approved,98,11,4,Yes,21,1.32222,Fail
988,10,Sydney,10,4,3,Lease,Approved,57,11,4,Yes,21,1.32222,Fail
989,10,Sydney,17,1,1,Lease,Disapproved,56,10,4,Yes,19,1.27875,Fail
990,10,Sydney,6,1,2,Lease,Approved,25,8,3,Yes,15,1.17609,Fail
991,10,New York,12,5,3,Lease,Approved,61,5,0,No,10,1,Fail
992,10,Paris,16,2,3,Lease,Disapproved,72,3,0,No,5,0.69897,Pass
